missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
biological_error,0.99,0.2,5000,2533,0.20517507102744234,0.23218799635509368,0.007001074213290017,0.18252926607784062,0.9872826561769292
biological_error,0.99,0.2,10000,2533,0.20522013062100877,0.23178555932503603,0.006755467990947446,0.1812620635175684,0.9881269652990391
biological_error,0.99,0.2,50000,2533,0.20532298654827458,0.23136621617768757,0.006570496590831143,0.181131209996674,0.9897323665860744
biological_error,0.99,0.2,100000,2533,0.20528881236563426,0.2312743448702735,0.006588020761619054,0.18145405784189197,0.9898339446341248
biological_error,0.99,0.4,100,2533,0.19821382002848056,0.24979029092606564,0.003084719169926615,0.1716089211121233,1.0406999565412351
biological_error,0.99,0.4,500,2533,0.19499645316512884,0.2259374936921497,0.002128605854936907,0.1707749456615017,1.0301145238730798
biological_error,0.99,0.4,1000,2533,0.19267444611242002,0.21966888362706335,0.00435835299486213,0.17041023808166392,1.0164846974811046
biological_error,0.99,0.4,5000,2533,0.18901918487964886,0.21378551607633875,0.005752278145714285,0.1696617039974464,0.9912009273239211
biological_error,0.99,0.4,10000,2533,0.18883260029796303,0.2133286633606814,0.005558688143417524,0.16877224167943558,0.9897920779739376
biological_error,0.99,0.4,50000,2533,0.18901813540332796,0.21328670598406607,0.005552547069530465,0.1690929210420989,0.9902448186623255
biological_error,0.99,0.4,100000,2533,0.18903743067879183,0.21329664918205204,0.005589404776902525,0.169432557745007,0.9902595194993385
biological_error,0.99,0.6,100,2533,0.31595990256698064,2.704418543241537,0.05479484039818952,0.2236734920030921,1.4692846822928465
biological_error,0.99,0.6,500,2533,0.2554885484152339,0.29106108033743283,0.001835308937208171,0.22291375150394982,1.0191606380230998
biological_error,0.99,0.6,1000,2533,0.25361573127553944,0.2881197770424521,0.003561424689421891,0.2230104896659142,1.0103808660489313
biological_error,0.99,0.6,5000,2533,0.2501864901158599,0.2833027502155097,0.0036833877959063627,0.2209389114990606,0.9913457533253482
biological_error,0.99,0.6,10000,2533,0.2500178535696394,0.2827533959071692,0.0034858717469188906,0.2202485494245586,0.9916040560621494
biological_error,0.99,0.6,50000,2533,0.24978663952235222,0.28225578919046496,0.0031513979099681137,0.2198049874446687,0.9903322599940909
biological_error,0.99,0.6,100000,2533,0.24983572273206478,0.2822264478429103,0.0031354251251032484,0.2189087257457272,0.9907798768615098
biological_error+instrument_error,0.0,0.0,100,2533,0.08486597285188431,0.10827294550152718,0.001642758738526137,0.06935332045278081,0.6599746223911156
biological_error+instrument_error,0.0,0.0,500,2533,0.037669849356494145,0.04818052176262822,-0.0008467814154600412,0.030229075716730502,0.28735867507955287
biological_error+instrument_error,0.0,0.0,1000,5066,0.026918115634756556,0.03450895855550931,-9.363475213910456e-05,0.0218679434884147,0.20767376356753886
biological_error+instrument_error,0.0,0.0,5000,2533,0.013987688483712298,0.01979435606135142,0.0004930110032087777,0.010703960790038991,0.10772466624882367
biological_error+instrument_error,0.0,0.0,10000,2533,0.011149672336052406,0.017387972114739178,0.0005608333533768218,0.0076298011027359225,0.08645070506570596
biological_error+instrument_error,0.0,0.0,50000,2533,0.007238637795417778,0.01492202983694902,0.0006628182612805764,0.0034584344611936005,0.056263094822795005
biological_error+instrument_error,0.0,0.0,100000,2533,0.006369804771392445,0.014711654922695275,0.0005742083427028712,0.002491317016728195,0.049537919285017766
biological_error+instrument_error,0.0,0.2,100,2533,0.08726173014947797,0.11365524672426248,-0.0006327502852730156,0.06845999550200119,0.5391362841898731
biological_error+instrument_error,0.0,0.2,500,2533,0.04239806646385941,0.05752571219046685,-0.0019549378647097026,0.03274257363792969,0.26019662433164764
biological_error+instrument_error,0.0,0.2,1000,2533,0.03199262431938165,0.04625696389032813,-0.0010665669757163202,0.023665055768554488,0.19832851221795816
biological_error+instrument_error,0.0,0.2,5000,2533,0.01983463958846095,0.03536719812717966,-4.515845197883972e-05,0.011423703779699895,0.12305304143163208
biological_error+instrument_error,0.0,0.2,10000,2533,0.01725467754203886,0.033745957421538186,4.9025979300662256e-05,0.008689743013092902,0.1072633550437535
biological_error+instrument_error,0.0,0.2,50000,2533,0.013822274147476277,0.03210027096144362,6.447075006336675e-05,0.004251543273266378,0.08546289293749414
biological_error+instrument_error,0.0,0.2,100000,2533,0.01303721777335292,0.0320332803810994,2.981385161745384e-05,0.003039208976818586,0.0804865813463018
biological_error+instrument_error,0.0,0.4,100,2533,0.0859609117327741,0.11110326592221237,0.001001132974185925,0.06957932987001919,0.5697885512432903
biological_error+instrument_error,0.0,0.4,500,2533,0.040345658091226706,0.054923790836217665,-0.0013996630553336279,0.031068917126803097,0.26670604026150946
biological_error+instrument_error,0.0,0.4,1000,2533,0.030601252404361408,0.04449636340798788,-0.0003082707532925644,0.023778858489828705,0.20379381149861678
biological_error+instrument_error,0.0,0.4,5000,2533,0.018606615837512757,0.03236577183418854,0.00019259603244069668,0.011561225668430708,0.12191115307770414
biological_error+instrument_error,0.0,0.4,10000,2533,0.01611630502759314,0.03086522715207518,0.00018995269999238327,0.008997910557355798,0.10442575979206359
biological_error+instrument_error,0.0,0.4,50000,2533,0.013102810307402218,0.030103176266253234,0.00012523313136641475,0.00485911299457889,0.08395957761731421
