missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
biological_error,0.97,0.0,100000,2533,1.0035700823005942,0.7583505663587593,0.8735474120090866
biological_error,0.97,0.2,100,2533,0.5152362423793475,0.3217373093377856,0.5988586303807086
biological_error,0.97,0.2,500,2533,0.49707627267942484,0.3787367727352631,0.4477465989922434
biological_error,0.97,0.2,1000,2533,0.472001238880528,0.3628540896043637,0.4325272963335231
biological_error,0.97,0.2,5000,2533,0.452745289615504,0.3311242239775953,0.43504650034754455
biological_error,0.97,0.2,10000,617,0.5146498864679852,0.4088612925827177,0.436469073705664
biological_error,0.97,0.2,50000,2533,0.9437404190782557,0.6948945094750634,0.8708939861033945
biological_error,0.97,0.2,100000,2533,0.8403239700494101,0.6008777850773321,0.864140724015324
biological_error,0.97,0.4,100,2533,0.5052781072293535,0.3177757345636739,0.5955059100378073
biological_error,0.97,0.4,500,2533,0.4686345610398638,0.3335788737934982,0.44930799899633955
biological_error,0.97,0.4,1000,2533,0.50857378775306,0.3830163979571944,0.44080383714022875
biological_error,0.97,0.4,5000,2533,0.4399130473425539,0.3157517009207833,0.4161202107390359
biological_error,0.97,0.4,10000,604,0.5272767451291787,0.3992316103080813,0.4502415050705214
biological_error,0.97,0.4,50000,2533,0.9937365150813138,0.7742278843405717,0.859059907923438
biological_error,0.97,0.4,100000,2533,0.9280371450654948,0.7050692464674848,0.8316367172077885
biological_error,0.99,0.0,100,2533,0.16590331617447812,0.0437970959553877,0.2699509155907226
biological_error,0.99,0.0,500,2533,0.15563688075361123,0.0999842602593223,0.18563114759479132
biological_error,0.99,0.0,1000,2533,0.1659066327066425,0.1157148368207301,0.1679639566056787
biological_error,0.99,0.0,5000,2533,0.14867269722370421,0.1070308990324056,0.14116581319371266
biological_error,0.99,0.0,10000,1028,0.15998014046149345,0.1193803145872971,0.14206646739733622
biological_error,0.99,0.0,50000,2533,0.31196206183879277,0.2229080466368492,0.2947027741124138
biological_error,0.99,0.0,100000,2533,0.3405455632994295,0.2581323398763827,0.2962951276062875
biological_error,0.99,0.2,100,2533,0.16971201581883366,0.0408610384428404,0.27741334015742225
biological_error,0.99,0.2,500,2533,0.16867227656418457,0.1181546384104017,0.17173486419133904
biological_error,0.99,0.2,1000,2533,0.1595602150747975,0.112731990305107,0.16113899087960978
biological_error,0.99,0.2,5000,2533,0.15231804817805641,0.1117190368731372,0.1481838997871222
biological_error,0.99,0.2,10000,838,0.17075302074522017,0.134467342993686,0.14468899633149185
biological_error,0.99,0.2,50000,2533,0.3210463234177021,0.2366685003129622,0.29910637015198044
biological_error,0.99,0.2,100000,2533,0.285180780294568,0.2019358592551414,0.29361749513085894
biological_error,0.99,0.4,100,2533,0.17335214457273904,0.0416140111661426,0.2939677397541348
biological_error,0.99,0.4,500,2533,0.15727053771023294,0.1060774372365393,0.16957606864066896
biological_error,0.99,0.4,1000,2533,0.17014971433530393,0.1231477741069861,0.1622525918650322
biological_error,0.99,0.4,5000,2533,0.1491236650046939,0.1067426135711174,0.14217085809092117
biological_error,0.99,0.4,10000,849,0.1792992439410549,0.1300093320248252,0.15669527729199076
biological_error,0.99,0.4,50000,2533,0.337611053580087,0.2614548556781593,0.29375584699688745
biological_error,0.99,0.4,100000,2533,0.31516994718117924,0.2393167425560409,0.2830993698325763
instrument_error,0.0,0.0,100,2533,1.039896242892813,1.0566992012284913,0.2808858611641191
instrument_error,0.0,0.0,500,2533,1.0200244225887838,1.0800271459557669,0.25946660478212924
instrument_error,0.0,0.0,1000,2533,1.0388069744345418,1.0893802066320817,0.2349076303561016
instrument_error,0.0,0.0,5000,2533,1.0153840052641296,1.0924613787895117,0.24889314610193156
instrument_error,0.0,0.0,10000,373,1.0465227225582947,1.1022301483967556,0.2687968514635491
instrument_error,0.0,0.0,50000,2533,1.3304250136576141,1.316164928523393,0.4384389036389732
instrument_error,0.0,0.0,100000,2533,1.323403906306281,1.3096912396996605,0.37006330491706463
instrument_error,0.0,0.2,100,2533,1.0770951123381347,1.0858495125590415,0.3236189584122615
instrument_error,0.0,0.2,500,2533,1.068185700517402,1.1075718754116255,0.2622954101963039
instrument_error,0.0,0.2,1000,2533,1.0668171637122856,1.1068287304176758,0.268358479334087
instrument_error,0.0,0.2,5000,2533,1.052722767166869,1.11215666048067,0.2858481145030057
instrument_error,0.0,0.2,10000,231,1.053207357983034,1.1089908524539445,0.2398600155466968
instrument_error,0.0,0.2,50000,2533,1.3823713487587312,1.3477841298223336,0.5768717890263232
instrument_error,0.0,0.2,100000,2533,1.3443089289543333,1.3417079640990572,0.4889117631760464
instrument_error,0.0,0.4,100,2533,1.2209423678845683,1.1631548101124238,0.6009671096954737
instrument_error,0.0,0.4,500,2533,1.2621560968685113,1.2030860681032494,0.612463444338209
instrument_error,0.0,0.4,1000,2533,1.2196205485472462,1.1748623829305729,0.5085137017303117
instrument_error,0.0,0.4,5000,2533,1.179322466577319,1.1531495801557103,0.540172523193387
instrument_error,0.0,0.4,10000,235,1.167562478045463,1.1750604820309456,0.3053421379903619
instrument_error,0.0,0.4,50000,2533,1.4622406087070503,1.3924843522423858,0.48273778539469403
instrument_error,0.0,0.4,100000,2533,1.4555109599688663,1.3917692263543342,0.4998106846752669
instrument_error,0.2,0.0,100,2533,3.3246703369126736,2.660930271189561,2.462967970935381
instrument_error,0.2,0.0,500,2533,3.1862469222149468,2.576698852597821,2.5030058470383425
instrument_error,0.2,0.0,1000,2533,3.321362772661204,2.76638965002157,2.36210966049658
instrument_error,0.2,0.0,5000,2533,3.057510951309237,2.4826370150614148,2.3213548037845837
instrument_error,0.2,0.0,10000,379,3.332134530011297,2.5890364860744017,2.446749410447236
instrument_error,0.2,0.0,50000,2533,5.717148240291382,4.322675797718505,4.7195684121845805
instrument_error,0.2,0.0,100000,2533,6.1591625825406355,4.837606270231385,4.754738803320423
instrument_error,0.2,0.2,100,2533,3.439184563257146,2.8414170349784778,2.4747130850559933
instrument_error,0.2,0.2,500,2533,3.4419311701835196,2.9117080576373073,2.427594094776451
instrument_error,0.2,0.2,1000,2533,3.2355603510484223,2.707284877128242,2.3569047618966463
instrument_error,0.2,0.2,5000,2533,3.149617183146304,2.508486732955334,2.4898111975625907
instrument_error,0.2,0.2,10000,235,3.248932063128457,2.769782035882118,2.3722865946777607
instrument_error,0.2,0.2,50000,2533,5.887890925754165,4.552699781931058,4.7849070759888805
instrument_error,0.2,0.2,100000,2533,5.305792280980238,3.9953210921619706,4.713498043425713
instrument_error,0.2,0.4,100,2533,3.191813167474019,2.649462966973893,2.401016640803224
instrument_error,0.2,0.4,500,2533,3.137527240593935,2.535506810710559,2.284879251426564
instrument_error,0.2,0.4,1000,2533,3.2491783955621933,2.662435642112095,2.293267038990705
instrument_error,0.2,0.4,5000,2533,2.8806956294748387,2.259365520440418,2.2530234256162376
instrument_error,0.2,0.4,10000,247,3.3050871594980475,2.6475537692727316,2.3995045188231217
instrument_error,0.2,0.4,50000,2533,5.888791772252999,4.775464730067067,4.548979334428049
instrument_error,0.2,0.4,100000,2533,5.521627532165983,4.331662829545108,4.331723095943544
instrument_error,0.4,0.0,100,2533,4.1866121365522515,3.3636446258147426,3.247666741747637
instrument_error,0.4,0.0,500,2533,3.9699353822677095,3.165114841260229,3.2913281759889386
instrument_error,0.4,0.0,1000,2533,4.145209143639146,3.378940270370911,3.115744094155908
instrument_error,0.4,0.0,5000,2533,3.790504318097602,3.0352524200368967,3.0533702018454316
instrument_error,0.4,0.0,10000,378,4.159728340787448,3.173830058003988,3.2255108236159247
instrument_error,0.4,0.0,50000,2533,7.07772728264465,5.26597802613273,6.098536861813064
instrument_error,0.4,0.0,100000,2533,7.647132301707895,5.974589074908219,6.1694849023038545
instrument_error,0.4,0.2,100,2533,4.308471905891571,3.5336771660037742,3.258606212753735
instrument_error,0.4,0.2,500,2533,4.275695136544823,3.583712513538472,3.169735231342496
instrument_error,0.4,0.2,1000,2533,4.012531962407407,3.286104611112258,3.1066579501386093
instrument_error,0.4,0.2,5000,2533,3.897304095894482,3.031283499426314,3.261121828042243
instrument_error,0.4,0.2,10000,235,4.033108895687305,3.403485054084236,3.1226912642117233
instrument_error,0.4,0.2,50000,2533,7.284457769522392,5.574041687052743,6.167965400744288
instrument_error,0.4,0.2,100000,2533,6.540958002372942,4.79588741439831,6.078249315233601
instrument_error,0.4,0.4,100,2533,3.876157968519919,3.163536891933457,3.075455931834159
instrument_error,0.4,0.4,500,2533,3.771572232285657,2.963522999351336,2.914050819873371
instrument_error,0.4,0.4,1000,2533,3.9184398284796957,3.136861393654828,2.937365375055003
instrument_error,0.4,0.4,5000,2533,3.4521086073094156,2.6184008825177756,2.889001239805166
instrument_error,0.4,0.4,10000,253,4.048250470354391,3.256071801214657,3.110735353723463
instrument_error,0.4,0.4,50000,2533,7.194075857591497,5.797976777715353,5.812843020337451
instrument_error,0.4,0.4,100000,2533,6.738944629979766,5.195040325939799,5.534679161450808
instrument_error,0.6,0.0,100,2533,4.393311961199117,3.5008797313158513,3.416049473527849
instrument_error,0.6,0.0,500,2533,4.154738290517242,3.3315497389858333,3.468508799199765
instrument_error,0.6,0.0,1000,2533,4.33988508847274,3.5241231865055185,3.2802663493201534
instrument_error,0.6,0.0,5000,2533,3.963661168170812,3.178105829543614,3.212153085820024
instrument_error,0.6,0.0,10000,392,4.293439099091695,3.249188560071678,3.371725865227255
instrument_error,0.6,0.0,50000,2533,7.380797557961126,5.472474349829087,6.385179618152187
instrument_error,0.6,0.0,100000,2533,7.977900040027986,6.236287717674437,6.465264994699318
instrument_error,0.6,0.2,100,2533,4.520269104124049,3.672814745039489,3.4441604441228586
instrument_error,0.6,0.2,500,2533,4.471138269895126,3.7280660463847903,3.323973836933574
instrument_error,0.6,0.2,1000,2533,4.19588289259061,3.4476046274220846,3.2686558704169038
instrument_error,0.6,0.2,5000,2533,4.072660352006902,3.1620861689865905,3.427685767276693
instrument_error,0.6,0.2,10000,243,4.323342243054389,3.619929094369668,3.3818177627830424
instrument_error,0.6,0.2,50000,2533,7.592176028939332,5.788979393350455,6.452874577081073
instrument_error,0.6,0.2,100000,2533,6.813914980899343,4.979012075673551,6.3592614895276185
instrument_error,0.6,0.4,100,2533,4.03112780358815,3.2730923110986976,3.212522644807524
instrument_error,0.6,0.4,500,2533,3.919225268741519,3.0729494844420246,3.0504022416290737
instrument_error,0.6,0.4,1000,2533,4.074005165704721,3.25915643371155,3.0749956517201222
instrument_error,0.6,0.4,5000,2533,3.5868918996869765,2.7122096117652807,3.0231906122841656
instrument_error,0.6,0.4,10000,252,4.19629865381483,3.38423914331804,3.2560916929660557
instrument_error,0.6,0.4,50000,2533,7.47935383803741,6.030840684138279,6.068380149327548
instrument_error,0.6,0.4,100000,2533,7.006176754390881,5.39447579746165,5.781852612838801
instrument_error,0.8,0.0,100,2533,4.506989579740127,3.6098051734993977,3.5061703709753056
instrument_error,0.8,0.0,500,2533,4.266457355513957,3.3923894665478085,3.5701595129132415
instrument_error,0.8,0.0,1000,2533,4.458087671731521,3.614457802029143,3.3806972132579904
instrument_error,0.8,0.0,5000,2533,4.069132208866082,3.2616704819807163,3.3079376796812294
instrument_error,0.8,0.0,10000,382,4.4616529165284105,3.405114156909911,3.490581378990964
instrument_error,0.8,0.0,50000,2533,7.565426501510677,5.611172479655488,6.557678773369417
instrument_error,0.8,0.0,100000,2533,8.178867174304404,6.388927038160291,6.641890429888309
instrument_error,0.8,0.2,100,2533,4.638093576624178,3.769224964966689,3.5476781236419264
