cause,effect,nonident_cause,rescue_nodes,n_rescue_nodes
soxR,yrbL,cross_scc_blocked,fur|soxR,2
fliA,fliI,cross_scc_blocked,fliA|fliZ,2
fliA,fliJ,cross_scc_blocked,fliA|fliZ,2
fliA,fliK,cross_scc_blocked,fliA|fliZ,2
fliA,fliL,cross_scc_blocked,fliA|fliZ,2
fliA,fliM,cross_scc_blocked,fliA|fliZ,2
fliA,fliN,cross_scc_blocked,fliA|fliZ,2
fliA,fliO,cross_scc_blocked,fliA|fliZ,2
fliA,fliP,cross_scc_blocked,fliA|fliZ,2
fliA,fliQ,cross_scc_blocked,fliA|fliZ,2
fliA,fliR,cross_scc_blocked,fliA|fliZ,2
soxS,acnA,cross_scc_blocked,fur,1
fliA,fliS,cross_scc_blocked,fliA|fliZ,2
fliA,fliT,cross_scc_blocked,fliA|fliZ,2
fliA,fliZ,scc_edge_dissolved,fliA,1
fliA,flxA,cross_scc_blocked,fis|fliA|fliZ|gadE,4
fliA,hemL,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,modA,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,modB,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,modC,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,motA,cross_scc_blocked,cpxR|fliA|fliZ|gadE,4
fliA,motB,cross_scc_blocked,cpxR|fliA|fliZ|gadE,4
soxS,acrA,cross_scc_blocked,fur,1
fliA,oppA,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,oppB,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,oppC,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,oppD,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,oppF,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,pdeH,cross_scc_blocked,fliA|fliZ,2
fliA,ppdA,cross_scc_blocked,fliA|fliZ,2
fliA,ppdB,cross_scc_blocked,fliA|fliZ,2
fliA,ppdC,cross_scc_blocked,fliA|fliZ,2
fliA,prs,cross_scc_blocked,fliA|fliZ|gadE,3
soxS,acrB,cross_scc_blocked,fur,1
fliA,rdcA,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,recC,cross_scc_blocked,fliA|fliZ,2
fliA,tap,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
fliA,tar,cross_scc_blocked,fliA|fliZ|fnr|gadE,4
fliA,tcyJ,cross_scc_blocked,fliA|fliZ,2
fliA,trg,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,tsr,cross_scc_blocked,fliA|fliZ|gadE,3
fliA,ycgR,cross_scc_blocked,fliA|fliZ,2
fliA,yecF,cross_scc_blocked,fliA|fliZ|gadE|nac,4
fliA,ygbK,cross_scc_blocked,fliA|fliZ,2
soxS,acrZ,cross_scc_blocked,fur,1
fliA,ygdB,cross_scc_blocked,fliA|fliZ,2
fliA,ynjH,cross_scc_blocked,fliA|fliZ|gadE,3
fliZ,csgA,cross_scc_blocked,fliZ,1
fliZ,csgB,cross_scc_blocked,fliZ,1
fliZ,csgC,cross_scc_blocked,fliZ,1
fliZ,csgD,two_cycle,fliZ,1
