cause,effect,nonident_cause,same_scc_after_removal,needs_intervention,min_break_set,min_break_size,rescuable_within_k,cut_verified
hipA,mazF,cross_scc_blocked,False,False,[],0,True,True
rplT,rplT,self_loop,True,True,[],0,False,False
rplY,rplY,self_loop,True,True,[],0,False,False
hipA,relA,cross_scc_blocked,False,False,[],0,True,True
hipB,hipA,two_cycle,False,False,[],0,True,True
hipB,hipB,self_loop,True,True,"[""hipA""]",1,True,False
hipB,mazE,cross_scc_blocked,False,False,[],0,True,True
hipB,mazF,cross_scc_blocked,False,False,[],0,True,True
hipB,relA,cross_scc_blocked,False,False,[],0,True,True
ibpA,ibpA,self_loop,True,True,[],0,False,False
ilvY,ilvY,self_loop,True,True,[],0,False,False
lexA,lexA,self_loop,True,True,"[""rpoD""]",1,True,False
lexA,rpoD,two_cycle,False,False,[],0,True,True
rpoD,rpoD,self_loop,True,True,"[""dksA"", ""lexA"", ""rpoE"", ""rpoH""]",4,False,False
flhC,fliZ,two_cycle,True,True,[],0,False,False
lrhA,lrhA,self_loop,True,True,"[""lrp""]",1,True,False
slyA,leuO,scc_edge_dissolved,False,False,[],0,True,True
slyA,slyA,self_loop,True,True,"[""lrp""]",1,True,False
tyrR,tyrR,self_loop,True,True,[],0,False,False
lysR,lysR,self_loop,True,True,[],0,False,False
rob,acnA,cross_scc_blocked,False,False,[],0,True,True
rob,acrA,cross_scc_blocked,False,False,[],0,True,True
rob,acrB,cross_scc_blocked,False,False,[],0,True,True
rob,acrZ,cross_scc_blocked,False,False,[],0,True,True
rob,aldA,cross_scc_blocked,False,False,[],0,True,True
rpsA,fis,scc_edge_dissolved,False,False,[],0,True,True
rpsA,rpsA,self_loop,True,True,"[""fis""]",1,True,False
rob,dapD,cross_scc_blocked,False,False,[],0,True,True
rob,fumC,cross_scc_blocked,False,False,[],0,True,True
rob,glnD,cross_scc_blocked,False,False,[],0,True,True
rob,inaA,cross_scc_blocked,False,False,[],0,True,True
rob,map,cross_scc_blocked,False,False,[],0,True,True
rob,marA,two_cycle,True,True,[],0,False,False
rob,marB,cross_scc_blocked,False,False,[],0,True,True
rob,marR,same_scc_long,True,True,"[""marA""]",1,True,True
rob,mdaB,cross_scc_blocked,False,False,[],0,True,True
rob,nfo,cross_scc_blocked,False,False,[],0,True,True
rpsD,rpsD,self_loop,True,True,[],0,False,False
rpsG,rpsG,self_loop,True,True,[],0,False,False
rob,nfsA,cross_scc_blocked,False,False,[],0,True,True
rob,nfsB,cross_scc_blocked,False,False,[],0,True,True
rob,rimK,cross_scc_blocked,False,False,[],0,True,True
rob,rob,self_loop,True,True,"[""marA""]",1,True,False
rob,sodA,cross_scc_blocked,False,False,[],0,True,True
rob,tolC,cross_scc_blocked,False,False,[],0,True,True
rob,ybjC,cross_scc_blocked,False,False,[],0,True,True
rob,ybjN,cross_scc_blocked,False,False,[],0,True,True
rob,ygiB,cross_scc_blocked,False,False,[],0,True,True
rob,ygiC,cross_scc_blocked,False,False,[],0,True,True
rpsH,rpsH,self_loop,True,True,[],0,False,False
sgrR,sgrR,self_loop,True,True,[],0,False,False
rob,yhbW,cross_scc_blocked,False,False,[],0,True,True
rob,zwf,cross_scc_blocked,False,False,[],0,True,True
metR,metR,self_loop,True,True,[],0,False,False
mngR,mngR,self_loop,True,True,[],0,False,False
mprA,mprA,self_loop,True,True,[],0,False,False
mqsA,mqsA,self_loop,True,True,"[""rpoD""]",1,True,False
mraZ,mraZ,self_loop,True,True,[],0,False,False
murR,murR,self_loop,True,True,[],0,False,False
ydiP,cspA,scc_edge_dissolved,False,False,[],0,True,True
yoeB,yefM,two_cycle,False,False,[],0,True,True
